Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,sex,SRA Study,tissue,treatment
SRR14537213,NA,SELEX,101,78987555,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188577,Human,49227971,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881547,Illumina HiSeq 2000,NA,HNF4A_18_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,HNF4A_18_Rnd2_Lib1,HNF4A,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #18
SRR14537214,NA,SELEX,101,87143103,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188576,Human,50033447,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881546,Illumina HiSeq 2000,NA,HNF4A_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,HNF4A_Rnd3_Lib1,HNF4A,NA,SRP319847,NA,Round-3 with Lib1
SRR14537215,NA,SELEX,101,100982224,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188575,Human,55875358,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881545,Illumina HiSeq 2000,NA,EAR2_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,EAR2_Rnd3_Lib1,EAR2,NA,SRP319847,NA,Round-3 with Lib1
SRR14537216,NA,SELEX,101,94256735,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188574,Human,53740329,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881544,Illumina HiSeq 2000,NA,EAR2_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,EAR2_Rnd2_Lib1,EAR2,NA,SRP319847,NA,Round-2 with Lib1
SRR14537217,NA,SELEX,101,26271413,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188573,Human,18619087,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881543,Illumina HiSeq 2000,NA,EAR2-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,EAR2-RXRA_Rnd3_Lib1,EAR2:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537218,NA,SELEX,101,96546506,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188572,Human,54704287,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881542,Illumina HiSeq 2000,NA,COUP-TF2_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,COUP-TF2_Rnd3_Lib1,COUP-TF2,NA,SRP319847,NA,Round-3 with Lib1
SRR14537219,NA,SELEX,101,94943838,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188571,Human,53603252,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881541,Illumina HiSeq 2000,NA,COUP-TF2_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,COUP-TF2_Rnd2_Lib1,COUP-TF2,NA,SRP319847,NA,Round-2 with Lib1
SRR14537220,NA,SELEX,101,100203110,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188570,Human,57097197,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881540,Illumina HiSeq 2000,NA,COUP-TF2_17_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,COUP-TF2_17_Rnd3_Lib1,COUP-TF2,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #17
SRR14537221,NA,SELEX,101,86696279,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188569,Human,52495626,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881539,Illumina HiSeq 2000,NA,COUP-TF2_17_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,COUP-TF2_17_Rnd2_Lib1,COUP-TF2,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #17
SRR14537222,NA,SELEX,101,33112547,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188568,Human,23027447,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881538,Illumina HiSeq 2000,NA,COUP-TF2-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,COUP-TF2-RXRA_Rnd3_Lib1,COUP-TF2:RXRA,NA,SRP319847,NA,Round-3 with Lib1
