SRR14537270	S07_165	CAR_Rnd3_Lib1
SRR14537225	S07_024	COUP-TF1_17_Rnd2_Lib1
SRR14537224	S07_144	COUP-TF1_17_Rnd3_Lib1
SRR14537307	S07_111	COUP-TF1_Rnd3_Lib1
SRR14537226	S13_133	COUP-TF1-RXRA_Rnd3_Lib1
SRR14537221	S07_025	COUP-TF2_17_Rnd2_Lib1
SRR14537220	S07_145	COUP-TF2_17_Rnd3_Lib1
SRR14537219	S07_117	COUP-TF2_Rnd2_Lib1
SRR14537218	S07_112	COUP-TF2_Rnd3_Lib1
SRR14537222	S13_134	COUP-TF2-RXRA_Rnd3_Lib1
SRR14537216	S07_118	EAR2_Rnd2_Lib1
SRR14537215	S07_113	EAR2_Rnd3_Lib1
SRR14537217	S13_135	EAR2-RXRA_Rnd3_Lib1
SRR14537326	S04_142	ESR1_5_Rnd2_Lib2
SRR14537324	S04_143	ESR1_5_Rnd3_Lib2
SRR14537311	S07_121	ESR1_6_Rnd3_Lib1
SRR14537306	S07_001	ESRRA_4_Rnd2_Lib1
SRR14537305	S07_122	ESRRA_4_Rnd3_Lib1
SRR14537325	S07_037	ESRRA_Rnd2_Lib1
SRR14537314	S07_157	ESRRA_Rnd3_Lib1
SRR14537336	S13_136	ESRRA-RXRA_Rnd3_Lib1
SRR14537301	S07_002	ESRRB_4_Rnd2_Lib1
SRR14537299	S07_123	ESRRB_4_Rnd3_Lib1
SRR14537303	S07_038	ESRRB_Rnd2_Lib1
SRR14537302	S07_158	ESRRB_Rnd3_Lib1
SRR14537304	S13_137	ESRRB-RXRA_Rnd3_Lib1
SRR14537295	S07_003	ESRRG_4_Rnd2_Lib1
SRR14537294	S07_124	ESRRG_4_Rnd3_Lib1
SRR14537297	S07_039	ESRRG_Rnd2_Lib1
SRR14537296	S07_159	ESRRG_Rnd3_Lib1
SRR14537298	S13_155	ESRRG-RXRA_Rnd3_Lib1
SRR14537260	S07_091	FXR_11_Rnd3_Lib1
SRR14537261	S07_163	FXR_Rnd3_Lib1
SRR14537347	S07_125	GR_3_Rnd3_Lib1
SRR14537234	S07_045	GR_Rnd2_Lib1
SRR14537223	S07_166	GR_Rnd3_Lib1
SRR14537213	S07_008	HNF4A_18_Rnd2_Lib1
SRR14537346	S07_129	HNF4A_18_Rnd3_Lib1
SRR14537214	S07_161	HNF4A_Rnd3_Lib1
SRR14537345	S07_009	HNF4G_Rnd2_Lib1
SRR14537344	S07_130	HNF4G_Rnd3_Lib1
SRR14537343	S07_162	HNF4G_Rnd3_Lib1_Rep2
SRR14537237	S07_013	LRH1_Rnd2_Lib1
SRR14537236	S07_134	LRH1_Rnd3_Lib1
SRR14537238	S13_140	LRH1-RXRA_Rnd3_Lib1
SRR14537258	S07_142	LXRA_12_Rnd3_Lib1
SRR14537259	S07_143	LXRA_Rnd3_Lib1
SRR14537257	S13_142	LXRB-RXRA_Rnd3_Lib1
SRR14537349	S07_005	MR_1_Rnd2_Lib1
SRR14537348	S07_126	MR_1_Rnd3_Lib1
SRR14537300	S07_046	MR_Rnd2_Lib1
SRR14537289	S07_167	MR_Rnd3_Lib1
SRR14537329	S07_011	NOR1_Rnd2_Lib1
SRR14537328	S07_132	NOR1_Rnd3_Lib1
SRR14537320	S04_144	NURR1_Rnd1_Lib2
SRR14537319	S04_145	NURR1_Rnd2_Lib2
SRR14537327	S07_131	NURR1_Rnd3_Lib1
SRR14537318	S04_146	NURR1_Rnd3_Lib2
SRR14537256	S07_006	PGR_2_Rnd2_Lib1
SRR14537245	S07_127	PGR_2_Rnd3_Lib1
SRR14537278	S07_047	PGR_Rnd2_Lib1
SRR14537267	S07_168	PGR_Rnd3_Lib1
SRR14537228	S07_115	PNR_Rnd2_Lib1
SRR14537227	S07_110	PNR_Rnd3_Lib1
SRR14537254	S07_027	PPARD_13_Rnd2_Lib1
SRR14537253	S07_147	PPARD_13_Rnd3_Lib1
SRR14537252	S07_095	PPARD_14_Rnd3_Lib1
SRR14537255	S07_148	PPARD_Rnd3_Lib1
SRR14537249	S07_096	PPARG_14_Rnd3_Lib1
SRR14537248	S07_149	PPARG_15_Rnd3_Lib1
SRR14537251	S07_030	PPARG_Rnd2_Lib1
SRR14537250	S07_150	PPARG_Rnd3_Lib1
SRR14537266	S07_067	PXR_9_Rnd2_Lib1
SRR14537265	S07_092	PXR_9_Rnd3_Lib1
SRR14537269	S07_043	PXR_Rnd2_Lib1
SRR14537268	S07_164	PXR_Rnd3_Lib1
SRR14537279	S07_072	RARA_8_Rnd2_Lib1
SRR14537277	S07_097	RARA_8_Rnd3_Lib1
